timestamp,can_id_hex,can_id_dec,signal_name,value,unit,status,dtc,raw_data_hex
2026-05-21 15:09:05.718,0x100,256,speed_kph,0.2,km/h,OK,,00 02 00 00 00 00 AA AA
2026-05-21 15:09:05.719,0x101,257,rpm,793.75,rpm,OK,,0C 67 00 00 00 00 00 00
2026-05-21 15:09:05.719,0x102,258,temp_c,20,C,OK,,3C 00 00 00 00 00 00 00
2026-05-21 15:09:05.720,0x200,512,accel_x_g,0.251,g,OK,,00 FB FF FE 31 38 00 00
2026-05-21 15:09:05.720,0x200,512,accel_y_g,-0.002,g,OK,,00 FB FF FE 31 38 00 00
2026-05-21 15:09:05.720,0x200,512,voltage_v,12.6,V,OK,,00 FB FF FE 31 38 00 00
2026-05-21 15:09:05.818,0x100,256,speed_kph,0.5,km/h,OK,,00 05 00 00 00 00 AA AA
2026-05-21 15:09:05.818,0x101,257,rpm,803.0,rpm,OK,,0C 8C 00 00 00 00 00 00
2026-05-21 15:09:05.819,0x102,258,temp_c,20,C,OK,,3C 00 00 00 00 00 00 00
2026-05-21 15:09:05.820,0x200,512,accel_x_g,0.253,g,OK,,00 FD 00 00 36 02 00 00
2026-05-21 15:09:05.820,0x200,512,accel_y_g,0.0,g,OK,,00 FD 00 00 36 02 00 00
2026-05-21 15:09:05.820,0x200,512,voltage_v,13.826,V,OK,,00 FD 00 00 36 02 00 00
2026-05-21 15:09:05.918,0x100,256,speed_kph,0.7,km/h,OK,,00 07 00 00 00 00 AA AA
2026-05-21 15:09:05.919,0x101,257,rpm,863.5,rpm,OK,,0D 7E 00 00 00 00 00 00
2026-05-21 15:09:05.920,0x102,258,temp_c,20,C,OK,,3C 00 00 00 00 00 00 00
2026-05-21 15:09:05.920,0x200,512,accel_x_g,0.257,g,OK,,01 01 00 05 35 98 00 00
2026-05-21 15:09:05.920,0x200,512,accel_y_g,0.005,g,OK,,01 01 00 05 35 98 00 00
2026-05-21 15:09:05.920,0x200,512,voltage_v,13.72,V,OK,,01 01 00 05 35 98 00 00
2026-05-21 15:09:06.019,0x100,256,speed_kph,1.0,km/h,OK,,00 0A 00 00 00 00 AA AA
2026-05-21 15:09:06.019,0x101,257,rpm,840.75,rpm,OK,,0D 23 00 00 00 00 00 00
2026-05-21 15:09:06.020,0x102,258,temp_c,20,C,OK,,3C 00 00 00 00 00 00 00
2026-05-21 15:09:06.021,0x200,512,accel_x_g,0.252,g,OK,,00 FC 00 02 35 E3 00 00
2026-05-21 15:09:06.021,0x200,512,accel_y_g,0.002,g,OK,,00 FC 00 02 35 E3 00 00
2026-05-21 15:09:06.021,0x200,512,voltage_v,13.795,V,OK,,00 FC 00 02 35 E3 00 00
2026-05-21 15:09:06.119,0x100,256,speed_kph,1.2,km/h,OK,,00 0C 00 00 00 00 AA AA
2026-05-21 15:09:06.119,0x101,257,rpm,789.5,rpm,OK,,0C 56 00 00 00 00 00 00
2026-05-21 15:09:06.121,0x102,258,temp_c,20,C,OK,,3C 00 00 00 00 00 00 00
2026-05-21 15:09:06.121,0x200,512,accel_x_g,0.249,g,OK,,00 F9 00 00 31 38 00 00
2026-05-21 15:09:06.121,0x200,512,accel_y_g,0.0,g,OK,,00 F9 00 00 31 38 00 00
2026-05-21 15:09:06.121,0x200,512,voltage_v,12.6,V,OK,,00 F9 00 00 31 38 00 00
2026-05-21 15:09:06.220,0x100,256,speed_kph,1.5,km/h,OK,,00 0F 00 00 00 00 AA AA
2026-05-21 15:09:06.220,0x101,257,rpm,814.75,rpm,OK,,0C BB 00 00 00 00 00 00
2026-05-21 15:09:06.221,0x102,258,temp_c,20,C,OK,,3C 00 00 00 00 00 00 00
2026-05-21 15:09:06.221,0x200,512,accel_x_g,0.248,g,OK,,00 F8 00 06 35 DB 00 00
2026-05-21 15:09:06.221,0x200,512,accel_y_g,0.006,g,OK,,00 F8 00 06 35 DB 00 00
2026-05-21 15:09:06.221,0x200,512,voltage_v,13.787,V,OK,,00 F8 00 06 35 DB 00 00
2026-05-21 15:09:06.320,0x100,256,speed_kph,1.7,km/h,OK,,00 11 00 00 00 00 AA AA
2026-05-21 15:09:06.320,0x101,257,rpm,817.25,rpm,OK,,0C C5 00 00 00 00 00 00
